Starting at 2016-03-28 02:18:24.858632...

	
Parameters:	
Table:claim_events_simple	
Limit Infrequent Events: 1	
Limit Infrequent Pairs: 1	
Prune KL-Divergence: 0.5	
Window: 24	
Laplace Pseudocounts: 1	
P-value Threshold: 0.05	

Found:0 Checked:81 Candidates:10202  (AssociatedToClaim AssociatedToParty)
Found:0 Checked:82 Candidates:10201  (AssociatedToClaim AssReRouteOffice)
Found:0 Checked:83 Candidates:10200  (AssociatedToClaim AssReRouteQueue)
Found:0 Checked:84 Candidates:10199  (AssociatedToClaim AssRouteToOffice)
Found:0 Checked:85 Candidates:10198  (AssociatedToClaim AssToFileHandler)
Found:0 Checked:86 Candidates:10197  (AssociatedToClaim AudatexReceipt)
Found:0 Checked:87 Candidates:10196  (AssociatedToClaim ChangedDocType)
Found:0 Checked:88 Candidates:10195  (AssociatedToClaim ChangedfromParty)
Found:0 Checked:89 Candidates:10194  (AssociatedToClaim ChangedtoParty)
Found:0 Checked:90 Candidates:10193  (AssociatedToClaim ClaimActivityLog)
Found:0 Checked:91 Candidates:10192  (AssociatedToClaim ClaimClosed)
Found:0 Checked:92 Candidates:10191  (AssociatedToClaim ClaimEdited)
Found:0 Checked:93 Candidates:10190  (AssociatedToClaim ClaimReopened)
Found:0 Checked:94 Candidates:10189  (AssociatedToClaim ClaimReported)
Found:0 Checked:95 Candidates:10188  (AssociatedToClaim ClaimSecured)
Found:0 Checked:96 Candidates:10187  (AssociatedToClaim ClaimSentToLFS)
Found:0 Checked:97 Candidates:10186  (AssociatedToClaim ClaimSetup)
Found:0 Checked:98 Candidates:10185  (AssociatedToClaim ClaimSummary)
Found:0 Checked:99 Candidates:10184  (AssociatedToClaim ClaimUnsecured)
Found:0 Checked:100 Candidates:10183  (AssociatedToClaim Contact)
Found:0 Checked:101 Candidates:10182  (AssociatedToClaim COPSCarAsgSentCRP)
Found:0 Checked:102 Candidates:10181  (AssociatedToClaim COPSCarAsgSentPDR)
Found:0 Checked:103 Candidates:10180  (AssociatedToClaim CorrAssignToHndler)
Found:0 Checked:104 Candidates:10179  (AssociatedToClaim Correspondencsent)
Found:0 Checked:105 Candidates:10178  (AssociatedToClaim Coverage)
Found:0 Checked:106 Candidates:10177  (AssociatedToClaim DocAddInProgress)
Found:0 Checked:107 Candidates:10176  (AssociatedToClaim DocumentAdded)
Found:0 Checked:108 Candidates:10175  (AssociatedToClaim DocumentFiled)
Found:0 Checked:109 Candidates:10174  (AssociatedToClaim EOBSent)
Found:0 Checked:110 Candidates:10173  (AssociatedToClaim EORSent)
Found:0 Checked:111 Candidates:10172  (AssociatedToClaim FYISent)
Found:0 Checked:112 Candidates:10171  (AssociatedToClaim grpPymtSubmit)
Found:0 Checked:113 Candidates:10170  (AssociatedToClaim Inbound)
Found:0 Checked:114 Candidates:10169  (AssociatedToClaim InitialContact)
Found:0 Checked:115 Candidates:10168  (AssociatedToClaim IsoAutUpdRpt)
Found:0 Checked:116 Candidates:10167  (AssociatedToClaim IsoDataErrRpt)
Found:0 Checked:117 Candidates:10166  (AssociatedToClaim IsoMatchRpt)
Found:0 Checked:118 Candidates:10165  (AssociatedToClaim IsoNoMatchRpt)
Found:0 Checked:119 Candidates:10164  (AssociatedToClaim ItemCompleteDenial)
Found:0 Checked:120 Candidates:10163  (AssociatedToClaim ItmReAssToFHndler)
Found:0 Checked:121 Candidates:10162  (AssociatedToClaim LiabilityAnalysis)
Found:0 Checked:122 Candidates:10161  (AssociatedToClaim makePaymentSubmit)
Found:0 Checked:123 Candidates:10160  (AssociatedToClaim ManualDeny)
Found:0 Checked:124 Candidates:10159  (AssociatedToClaim ManualPayment)
Found:0 Checked:125 Candidates:10158  (AssociatedToClaim Medical)
Found:0 Checked:126 Candidates:10157  (AssociatedToClaim Medicare)
Found:0 Checked:127 Candidates:10156  (AssociatedToClaim MedicareNotify)
Found:0 Checked:128 Candidates:10155  (AssociatedToClaim MovefromClaim)
Found:0 Checked:129 Candidates:10154  (AssociatedToClaim MoveFromInvstigatn)
Found:0 Checked:130 Candidates:10153  (AssociatedToClaim MovefromParty)
Found:0 Checked:131 Candidates:10152  (AssociatedToClaim MovetoClaim)
Found:0 Checked:132 Candidates:10151  (AssociatedToClaim MovetoParty)
Found:0 Checked:133 Candidates:10150  (AssociatedToClaim MultDocAddBegin)
Found:0 Checked:134 Candidates:10149  (AssociatedToClaim MultipleDocAdded)
Found:0 Checked:135 Candidates:10148  (AssociatedToClaim MutliEOBSent)
Found:0 Checked:136 Candidates:10147  (AssociatedToClaim NoteTrnsFrm)
Found:0 Checked:137 Candidates:10146  (AssociatedToClaim Outbound)
Found:0 Checked:138 Candidates:10145  (AssociatedToClaim OwRetTLWComTtlLoss)
Found:0 Checked:139 Candidates:10144  (AssociatedToClaim PartyAdded)
Found:0 Checked:140 Candidates:10143  (AssociatedToClaim PartyEdited)
Found:0 Checked:141 Candidates:10142  (AssociatedToClaim PaymentBlockSet)
Found:0 Checked:142 Candidates:10141  (AssociatedToClaim PerilActivity)
Found:0 Checked:143 Candidates:10140  (AssociatedToClaim Perils/Reserves)
Found:0 Checked:144 Candidates:10139  (AssociatedToClaim PhvcNotice)
Found:0 Checked:145 Candidates:10138  (AssociatedToClaim RcvdTranscriptn)
Found:0 Checked:146 Candidates:10137  (AssociatedToClaim ReasonforEscalation)
Found:0 Checked:147 Candidates:10136  (AssociatedToClaim ReceiptItem)
Found:0 Checked:148 Candidates:10135  (AssociatedToClaim RecordedStatementSu)
Found:0 Checked:149 Candidates:10134  (AssociatedToClaim recordManualPymt)
Found:0 Checked:150 Candidates:10133  (AssociatedToClaim RefAssign)
Found:0 Checked:151 Candidates:10132  (AssociatedToClaim RefCompPDVE)
Found:0 Checked:152 Candidates:10131  (AssociatedToClaim Referral)
Found:0 Checked:153 Candidates:10130  (AssociatedToClaim RefRemFromInbox)
Found:0 Checked:154 Candidates:10129  (AssociatedToClaim RefRespAuthority)
Found:0 Checked:155 Candidates:10128  (AssociatedToClaim RefRespBTCD)
Found:0 Checked:156 Candidates:10127  (AssociatedToClaim RefRespCSLT)
Found:0 Checked:157 Candidates:10126  (AssociatedToClaim RefRespFS)
Found:0 Checked:158 Candidates:10125  (AssociatedToClaim RefRespGeneral)
Found:0 Checked:159 Candidates:10124  (AssociatedToClaim RefRespPD)
Found:0 Checked:160 Candidates:10123  (AssociatedToClaim RefRespPDVE)
Found:0 Checked:161 Candidates:10122  (AssociatedToClaim RefRespPoliceFire)
Found:0 Checked:162 Candidates:10121  (AssociatedToClaim RefRespRCC)
Found:0 Checked:163 Candidates:10120  (AssociatedToClaim RefRespRental)
Found:0 Checked:164 Candidates:10119  (AssociatedToClaim RefRespSalvage)
Found:0 Checked:165 Candidates:10118  (AssociatedToClaim RefSentAuthority)
Found:0 Checked:166 Candidates:10117  (AssociatedToClaim RefSentBTCD)
Found:0 Checked:167 Candidates:10116  (AssociatedToClaim RefSentCRD)
Found:0 Checked:168 Candidates:10115  (AssociatedToClaim RefSentCSLT)
Found:0 Checked:169 Candidates:10114  (AssociatedToClaim RefSentFS)
Found:0 Checked:170 Candidates:10113  (AssociatedToClaim RefSentGeneral)
Found:0 Checked:171 Candidates:10112  (AssociatedToClaim RefSentPD)
Found:0 Checked:172 Candidates:10111  (AssociatedToClaim RefSentPDVE)
Found:0 Checked:173 Candidates:10110  (AssociatedToClaim RefSentPoliceFire)
Found:0 Checked:174 Candidates:10109  (AssociatedToClaim RefSentRCC)
Found:0 Checked:175 Candidates:10108  (AssociatedToClaim RefSentRental)
Found:0 Checked:176 Candidates:10107  (AssociatedToClaim RefSentSalvage)
Found:0 Checked:177 Candidates:10106  (AssociatedToClaim Rental)
Found:0 Checked:178 Candidates:10105  (AssociatedToClaim ReturnFrBillAudit)
Found:0 Checked:179 Candidates:10104  (AssociatedToClaim ReviewRemFromInbox)
Trimmed event_type with KL divergence: 0.0798770364453
Found:0 Checked:180 Candidates:10103  (AssociatedToClaim RouteToInbox)
Found:0 Checked:181 Candidates:10102  (AssociatedToClaim RouteToUnAssiMail)
Found:0 Checked:182 Candidates:10101  (AssociatedToClaim Salvage)
Found:0 Checked:183 Candidates:10100  (AssociatedToClaim SendTransHigh)
Found:0 Checked:184 Candidates:10099  (AssociatedToClaim SentToBillAudit)
Found:0 Checked:185 Candidates:10098  (AssociatedToClaim SetupEbillParty)
Found:0 Checked:186 Candidates:10097  (AssociatedToClaim SuspendedItem)
Found:0 Checked:187 Candidates:10096  (AssociatedToClaim Suspense)
Did not trim event_type with KL divergence: 1.28352203969
Distribution for (AssociatedToClaim 1,3 Suspense)
