Starting at 2016-03-01 22:10:02.223216...

	
Parameters:	
Table:claim_events_100op	
Limit Infrequent Events: 10	
Limit Infrequent Pairs: 10	
Prune KL-Divergence: False	
Window: 12	
Laplace Pseudocounts: 1	
P-value Threshold: 0.001	

Found:0 Checked:82 Candidates:2187  (AssociatedToParty ReviewRemFromInbox)
Found:0 Checked:83 Candidates:2186  (AssociatedToParty RouteToInbox)
Found:0 Checked:84 Candidates:2185  (AssociatedToParty SuspendedItem)
Found:0 Checked:85 Candidates:2184  (AssociatedToParty Suspense)
Found:0 Checked:86 Candidates:2183  (AssociatedToParty UnsuspendedItem)
Found:0 Checked:87 Candidates:2182  (AssociatedToParty Vehicle)
Found:0 Checked:88 Candidates:2181  (AssociatedToParty VehicleEdited)
Found:0 Checked:89 Candidates:2180  (AssReRouteQueue AssociatedToClaim)
Found:0 Checked:90 Candidates:2179  (AssReRouteQueue AssociatedToParty)
Found:0 Checked:91 Candidates:2178  (AssReRouteQueue AssReRouteQueue)
Found:0 Checked:92 Candidates:2177  (AssReRouteQueue AssRouteToOffice)
Found:0 Checked:93 Candidates:2176  (AssReRouteQueue AssToFileHandler)
Found:0 Checked:94 Candidates:2175  (AssReRouteQueue AudatexReceipt)
Found:0 Checked:95 Candidates:2174  (AssReRouteQueue ClaimActivityLog)
Found:0 Checked:96 Candidates:2173  (AssReRouteQueue ClaimClosed)
Found:0 Checked:97 Candidates:2172  (AssReRouteQueue ClaimEdited)
Found:0 Checked:98 Candidates:2171  (AssReRouteQueue ClaimReported)
Found:0 Checked:99 Candidates:2170  (AssReRouteQueue ClaimSetup)
Found:0 Checked:100 Candidates:2169  (AssReRouteQueue Contact)
Found:0 Checked:101 Candidates:2168  (AssReRouteQueue COPSCarAsgSentPDR)
Found:0 Checked:102 Candidates:2167  (AssReRouteQueue Correspondencsent)
Found:0 Checked:103 Candidates:2166  (AssReRouteQueue DocAddInProgress)
Found:0 Checked:104 Candidates:2165  (AssReRouteQueue DocumentAdded)
Found:0 Checked:105 Candidates:2164  (AssReRouteQueue DocumentFiled)
Found:0 Checked:106 Candidates:2163  (AssReRouteQueue FYISent)
Found:0 Checked:107 Candidates:2162  (AssReRouteQueue grpPymtSubmit)
Found:0 Checked:108 Candidates:2161  (AssReRouteQueue Inbound)
Found:0 Checked:109 Candidates:2160  (AssReRouteQueue InitialContact)
Found:0 Checked:110 Candidates:2159  (AssReRouteQueue IsoMatchRpt)
Found:0 Checked:111 Candidates:2158  (AssReRouteQueue ItmReAssToFHndler)
Found:0 Checked:112 Candidates:2157  (AssReRouteQueue LiabilityAnalysis)
Found:0 Checked:113 Candidates:2156  (AssReRouteQueue makePaymentSubmit)
Found:0 Checked:114 Candidates:2155  (AssReRouteQueue Outbound)
Found:0 Checked:115 Candidates:2154  (AssReRouteQueue PartyEdited)
Found:0 Checked:116 Candidates:2153  (AssReRouteQueue PerilActivity)
Found:0 Checked:117 Candidates:2152  (AssReRouteQueue ReceiptItem)
Found:0 Checked:118 Candidates:2151  (AssReRouteQueue RefCompPDVE)
Found:0 Checked:119 Candidates:2150  (AssReRouteQueue Referral)
Found:0 Checked:120 Candidates:2149  (AssReRouteQueue RefRemFromInbox)
Found:0 Checked:121 Candidates:2148  (AssReRouteQueue RefRespSalvage)
Found:0 Checked:122 Candidates:2147  (AssReRouteQueue RefSentPDVE)
Found:0 Checked:123 Candidates:2146  (AssReRouteQueue RefSentSalvage)
Found:0 Checked:124 Candidates:2145  (AssReRouteQueue ReviewRemFromInbox)
